category,term,description,p_value,fdr,genes,gene_count
Process,GO:0050778,Positive regulation of immune response,1.02e-05,0.0057,"NECTIN2,HLA-DRB1,TREM2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,PLCG2",8
DISEASES,DOID:28,Endocrine system disease,2.11e-05,0.0057,"NEUROG3,APOE,IL17RD,HLA-DQA1,HLA-DRB1,HLA-DQB1,HESX1",7
Component,GO:0044354,Macropinosome,0.00012,0.006,"APPL1,CARMIL1",2
COMPARTMENTS,GOCC:0110165,Cellular anatomical entity,0.00011,0.006,"QPCTL,GRN,KCNQ1,NEUROG3,IDUA,NECTIN2,APOE,ZC3H4,MTNR1B,IGF2BP3,CCND2,APH1B,CDKN2B,JADE2,JAZF1,ATP8B4,APPL1,IL17RD,CARMIL1,CHST15,HLA-DQA1,SNRPD2,TOX2,HLA-DRB1,TREM2,TSPAN15,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,HLA-DRA,SHARPIN,BTNL2,HLA-DQB2,IGF2BP2,CDKN1C,GIPR,EML2,PLCG2,HESX1",40
Process,GO:0002831,Regulation of response to biotic stimulus,1.14e-05,0.0061,"GRN,NECTIN2,APOE,APPL1,HLA-DRB1,TREM2,PLCG2",7
RCTM,HSA-1280218,Adaptive Immune System,2.71e-05,0.0062,"NECTIN2,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,PLCG2",9
Process,GO:0045088,Regulation of innate immune response,1.21e-05,0.0063,"GRN,NECTIN2,APOE,APPL1,TREM2,PLCG2",6
DISEASES,DOID:655,Inherited metabolic disorder,2.48e-05,0.0063,"GRN,KCNQ1,IDUA,APOE,MTNR1B,APPL1,HLA-DQA1,HLA-DRB1,HLA-DQB1,IGF2BP2",10
Process,GO:0002705,Positive regulation of leukocyte mediated immunity,1.27e-05,0.0063,"NECTIN2,HLA-DRB1,TREM2,HLA-DRA,PLCG2",5
Process,GO:0002684,Positive regulation of immune system process,1.23e-05,0.0063,"NECTIN2,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,PLCG2",10
Process,GO:0002281,Macrophage activation involved in immune response,1.34e-05,0.0063,"GRN,TREM2,PLCG2",3
HPO,EFO:0007010,Drug use measurement,2.28e-05,0.0063,"KCNQ1,NECTIN2,APOE,CCND2,JAZF1,HLA-DQA1,IGF2BP2",7
COMPARTMENTS,GOCC:0044354,Macropinosome,0.00012,0.0064,"APPL1,CARMIL1",2
COMPARTMENTS,GOCC:0016020,Membrane,0.00013,0.0067,"GRN,KCNQ1,NECTIN2,APOE,MTNR1B,CCND2,APH1B,ATP8B4,APPL1,CARMIL1,CHST15,HLA-DQA1,HLA-DRB1,TREM2,TSPAN15,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,HLA-DRA,BTNL2,HLA-DQB2,GIPR,PLCG2",24
Process,GO:0002697,Regulation of immune effector process,1.65e-05,0.0072,"GRN,NECTIN2,APPL1,HLA-DRB1,TREM2,HLA-DRA,PLCG2",7
Process,GO:0050728,Negative regulation of inflammatory response,1.71e-05,0.0073,"GRN,APOE,HLA-DRB1,TREM2,SHARPIN",5
HPO,EFO:0007034,Seropositivity measurement,2.83e-05,0.0077,"HLA-DQA1,HLA-DRB1,HLA-DQB1",3
HPO,EFO:0008039,BMI-adjusted hip circumference,2.82e-05,0.0077,"KCNQ1,IGF2BP3,JAZF1,HLA-DQA1,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,IGF2BP2",9
HPO,EFO:0005278,Cardiovascular disease biomarker measurement,3.19e-05,0.0083,"KCNQ1,NECTIN2,APOE,ZC3H4,MTNR1B,CCND2,JAZF1,ATP8B4,CARMIL1,HLA-DQA1,SLC22A18,HLA-DRA,BTNL2,GIPR,PLCG2",15
COMPARTMENTS,GOCC:0098588,Bounding membrane of organelle,0.00018,0.0087,"GRN,APOE,ATP8B4,APPL1,CHST15,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",11
DISEASES,DOID:9744,Type 1 diabetes mellitus,3.86e-05,0.0089,"HLA-DQA1,HLA-DRB1,HLA-DQB1",3
DISEASES,DOID:676,Juvenile rheumatoid arthritis,3.86e-05,0.0089,"HLA-DQA1,HLA-DRB1,HLA-DQB1",3
RCTM,HSA-428359,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,4.4e-05,0.0091,"IGF2BP3,IGF2BP2",2
HPO,EFO:0004530,Triglyceride measurement,3.63e-05,0.0092,"NECTIN2,APOE,ZC3H4,CCND2,JAZF1,HLA-DQA1,TSPAN15,HLA-DQB1,HLA-DRA",9
Process,GO:0051239,Regulation of multicellular organismal process,2.26e-05,0.0093,"GRN,KCNQ1,APOE,MTNR1B,IGF2BP3,CDKN2B,JADE2,APPL1,IL17RD,HLA-DRB1,ALPK2,TREM2,HLA-DRA,BTNL2,IGF2BP2,PLCG2,HESX1",17
Process,GO:0048522,Positive regulation of cellular process,2.47e-05,0.0099,"GRN,KCNQ1,NEUROG3,NECTIN2,APOE,MTNR1B,CCND2,CDKN2B,JADE2,APPL1,CARMIL1,HLA-DQA1,TOX2,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,SHARPIN,BTNL2,HLA-DQB2,CDKN1C,GIPR,PLCG2",25
HPO,HP:0002652,Skeletal dysplasia,3.96e-05,0.0099,"IDUA,IL17RD,TREM2,CDKN1C,HESX1",5
Process,GO:0002469,Myeloid dendritic cell antigen processing and presentation,2.64e-05,0.0104,"HLA-DRB1,HLA-DRA",2
Process,GO:0002491,Antigen processing and presentation of endogenous peptide antigen via MHC class II,2.64e-05,0.0104,"HLA-DRB1,HLA-DRA",2
HPO,EFO:0009382,Metabolically healthy obesity,4.4e-05,0.0107,"KCNQ1,TOX2",2
Component,GO:0005769,Early endosome,0.00024,0.0107,"KCNQ1,APOE,APPL1,PICALM,HLA-DRA,HLA-DQB2",6
HPO,EFO:0006846,Autoimmune disease biomarker,4.87e-05,0.0114,"KCNQ1,NECTIN2,ATP8B4,CARMIL1,PICALM,HLA-DRA,BTNL2,PLCG2",8
HPO,EFO:0004611,Low density lipoprotein cholesterol measurement,4.76e-05,0.0114,"NECTIN2,APOE,ZC3H4,CCND2,JAZF1,HLA-DQA1,HLA-DRA,GIPR",8
KEGG,hsa05416,Viral myocarditis,0.00025,0.0117,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa05321,Inflammatory bowel disease,0.00031,0.0117,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa05320,Autoimmune thyroid disease,0.00017,0.0117,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa05310,Asthma,3.49e-05,0.0117,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa05166,Human T-cell leukemia virus 1 infection,8.96e-05,0.0117,"CCND2,CDKN2B,HLA-DQA1,HLA-DQA2,HLA-DRA",5
KEGG,hsa05330,Allograft rejection,6.62e-05,0.0117,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa04940,Type I diabetes mellitus,9.02e-05,0.0117,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa04672,Intestinal immune network for IgA production,0.00013,0.0117,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa04612,Antigen processing and presentation,0.00039,0.0117,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa04514,Cell adhesion molecules,0.00023,0.0117,"NECTIN2,HLA-DQA1,HLA-DQA2,HLA-DRA",4
KEGG,hsa05169,Epstein-Barr virus infection,5.93e-05,0.0117,"CCND2,HLA-DQA1,HLA-DQA2,HLA-DRA,PLCG2",5
KEGG,hsa05332,Graft-versus-host disease,7.76e-05,0.0117,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
COMPARTMENTS,GOCC:0016021,Integral component of membrane,0.00025,0.0118,"KCNQ1,APH1B,CHST15,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,SLC22A18,HLA-DRA,HLA-DQB2",11
KEGG,hsa05140,Leishmaniasis,0.00048,0.0125,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
DISEASES,DOID:4,Disease,6.37e-05,0.0127,"GRN,KCNQ1,NEUROG3,IDUA,APOE,MTNR1B,CDKN2B,JAZF1,APPL1,IL17RD,HLA-DQA1,SNRPD2,HLA-DRB1,TREM2,TSPAN15,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,HLA-DRA,BTNL2,HLA-DQB2,IGF2BP2,CDKN1C,PLCG2,HESX1",26
Component,GO:0098552,Side of membrane,0.0003,0.0129,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",7
NetworkNeighborAL,CL:6904,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3), and Cyclin-dependent protein serine/threonine kinase inhibitor activity",1.76e-05,0.0134,"CCND2,CDKN2B,CDKN1C",3
COMPARTMENTS,GOCC:0005765,Lysosomal membrane,0.00029,0.0134,"GRN,HLA-DQA1,HLA-DRB1,HLA-DQB1,HLA-DRA",5
HPO,EFO:0008376,Mosquito bite measurement,6.22e-05,0.0143,"KCNQ1,HLA-DQA1,HLA-DQA2,HLA-DRA,HLA-DQB2",5
Process,GO:0001916,Positive regulation of T cell mediated cytotoxicity,3.86e-05,0.0144,"NECTIN2,HLA-DRB1,HLA-DRA",3
Process,GO:0050794,Regulation of cellular process,4.08e-05,0.0149,"GRN,KCNQ1,NEUROG3,NECTIN2,APOE,ZC3H4,MTNR1B,IGF2BP3,CCND2,APH1B,CDKN2B,JADE2,JAZF1,APPL1,IL17RD,CARMIL1,HLA-DQA1,TOX2,HLA-DRB1,ALPK2,TREM2,TSPAN15,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,SHARPIN,BTNL2,HLA-DQB2,IGF2BP2,CDKN1C,GIPR,EML2,NPAS1,PLCG2,HESX1",36
HPO,EFO:0007790,Epstein Barr virus nuclear antigen 1 IgG measurement,6.59e-05,0.0149,"HLA-DQA1,BTNL2",2
Function,GO:0005488,Binding,3.18e-05,0.0157,"QPCTL,GRN,KCNQ1,NEUROG3,IDUA,NECTIN2,APOE,ZC3H4,IGF2BP3,CCND2,CDKN2B,JADE2,JAZF1,ATP8B4,APPL1,CARMIL1,CHST15,HLA-DQA1,SNRPD2,TOX2,HLA-DRB1,ALPK2,TREM2,TSPAN15,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,HLA-DRA,SHARPIN,BTNL2,HLA-DQB2,IGF2BP2,CDKN1C,GIPR,EML2,NPAS1,PLCG2,HESX1",39
HPO,EFO:0004565,Serum IgG measurement,8.39e-05,0.0183,"IGF2BP3,HLA-DQA1,BTNL2,HLA-DQB2,PLCG2",5
HPO,EFO:0004574,Total cholesterol measurement,8.43e-05,0.0183,"NECTIN2,APOE,ZC3H4,CCND2,SLC22A18,HLA-DRA,GIPR",7
Process,GO:0031347,Regulation of defense response,5.55e-05,0.0189,"GRN,NECTIN2,APOE,APPL1,HLA-DRB1,TREM2,SHARPIN,PLCG2",8
HPO,EFO:0006806,Paragraph delayed recall measurement,9.22e-05,0.0194,"NECTIN2,ATP8B4",2
KEGG,hsa05150,Staphylococcus aureus infection,0.0009,0.0195,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa05323,Rheumatoid arthritis,0.00081,0.0195,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa04658,Th1 and Th2 cell differentiation,0.00087,0.0195,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa04640,Hematopoietic cell lineage,0.001,0.0201,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
KEGG,hsa05322,Systemic lupus erythematosus,0.0011,0.0214,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
HPO,EFO:0006797,Neurofibrillary tangles measurement,0.0001,0.0215,"NECTIN2,APOE,HLA-DRB1",3
Process,GO:0150077,Regulation of neuroinflammatory response,6.62e-05,0.0216,"GRN,TREM2,PLCG2",3
Process,GO:0045807,Positive regulation of endocytosis,6.72e-05,0.0216,"APOE,APPL1,TREM2,PLCG2",4
DISEASES,DOID:0060851,Pemphigus vulgaris,0.00012,0.0217,"HLA-DQA1,HLA-DRB1",2
HPO,HP:0000158,Macroglossia,0.00011,0.0224,"IDUA,APOE,CDKN1C,HESX1",4
Component,GO:0009986,Cell surface,0.00054,0.0228,"KCNQ1,NECTIN2,HLA-DRB1,TSPAN15,PICALM,HLA-DRA,BTNL2,HLA-DQB2",8
HPO,EFO:0004615,Apolipoprotein B measurement,0.00012,0.0233,"NECTIN2,APOE,CCND2,HLA-DQA1,HLA-DRA,GIPR",6
KEGG,hsa04659,Th17 cell differentiation,0.0013,0.0235,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
DISEASES,DOID:0060005,Autoimmune disease of endocrine system,0.00014,0.0238,"HLA-DQA1,HLA-DRB1,HLA-DQB1",3
Process,GO:0050852,T cell receptor signaling pathway,7.79e-05,0.024,"HLA-DRB1,HLA-DQB1,BTNL2,PLCG2",4
Keyword,KW-1003,Cell membrane,0.00022,0.0241,"KCNQ1,NECTIN2,MTNR1B,ATP8B4,IL17RD,CARMIL1,HLA-DRB1,ALPK2,TREM2,TSPAN15,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,HLA-DRA,HLA-DQB2,GIPR",17
KEGG,hsa05145,Toxoplasmosis,0.0015,0.0249,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
DISEASES,DOID:12894,Sjogrens syndrome,0.00016,0.025,"HLA-DQA1,HLA-DRB1",2
DISEASES,DOID:2986,IgA glomerulonephritis,0.00016,0.025,"HLA-DQA1,HLA-DQA2",2
Process,GO:0048584,Positive regulation of response to stimulus,8.48e-05,0.0256,"GRN,NECTIN2,APOE,CDKN2B,HLA-DRB1,TREM2,HLA-DQB1,HLA-DRA,SHARPIN,BTNL2,HLA-DQB2,CDKN1C,GIPR,PLCG2",14
Process,GO:0030100,Regulation of endocytosis,8.77e-05,0.0259,"APOE,APPL1,TREM2,PICALM,PLCG2",5
Process,GO:0002282,Microglial cell activation involved in immune response,9.22e-05,0.0268,"GRN,TREM2",2
Process,GO:0048585,Negative regulation of response to stimulus,9.91e-05,0.0275,"GRN,APOE,MTNR1B,APPL1,IL17RD,HLA-DRB1,ALPK2,TREM2,TSPAN15,SHARPIN,BTNL2,GIPR",12
HPO,EFO:0011008,Sex hormone measurement,0.00014,0.0285,"QPCTL,ZC3H4,CCND2,JADE2,JAZF1,HLA-DQA1,SNRPD2,SLC22A18,IGF2BP2",9
HPO,EFO:0004842,Eosinophil count,0.00015,0.0285,"NECTIN2,APOE,TOX2,HLA-DRB1,ALPK2,HLA-DQB1,HLA-DRA,SHARPIN",8
RCTM,HSA-69231,Cyclin D associated events in G1,0.00016,0.0288,"CCND2,CDKN2B,CDKN1C",3
HPO,EFO:0004732,Lipoprotein measurement,0.00015,0.0291,"NECTIN2,APOE,ZC3H4,CCND2,JAZF1,HLA-DQA1,HLA-DQB1,SLC22A18,HLA-DRA,BTNL2,GIPR",11
Component,GO:0012505,Endomembrane system,0.00072,0.0295,"QPCTL,GRN,KCNQ1,APOE,CCND2,APH1B,ATP8B4,APPL1,IL17RD,CARMIL1,CHST15,HLA-DQA1,HLA-DRB1,TSPAN15,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,HLA-DRA,HLA-DQB2",20
COMPARTMENTS,GOCC:0010008,Endosome membrane,0.00069,0.0296,"APPL1,HLA-DQA1,HLA-DRB1,HLA-DQB1,HLA-DRA",5
Process,GO:0002250,Adaptive immune response,0.00011,0.031,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
Process,GO:0032831,"Positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation",0.00012,0.0323,"HLA-DRB1,HLA-DRA",2
Process,GO:2000348,Regulation of CD40 signaling pathway,0.00012,0.0323,"TREM2,SHARPIN",2
Process,GO:0002708,Positive regulation of lymphocyte mediated immunity,0.00012,0.0323,"NECTIN2,HLA-DRB1,TREM2,HLA-DRA",4
COMPARTMENTS,GOCC:0043227,Membrane-bounded organelle,0.0008,0.0337,"QPCTL,GRN,KCNQ1,NEUROG3,IDUA,APOE,ZC3H4,CCND2,APH1B,CDKN2B,JADE2,JAZF1,ATP8B4,APPL1,IL17RD,CARMIL1,CHST15,HLA-DQA1,SNRPD2,TOX2,HLA-DRB1,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,HLA-DRA,HLA-DQB2,CDKN1C,PLCG2,HESX1",30
Process,GO:0050727,Regulation of inflammatory response,0.00014,0.034,"GRN,APOE,HLA-DRB1,TREM2,SHARPIN,PLCG2",6
Component,GO:0031090,Organelle membrane,0.00085,0.0343,"QPCTL,GRN,KCNQ1,APOE,CCND2,APH1B,ATP8B4,APPL1,IL17RD,CHST15,HLA-DQA1,HLA-DRB1,TSPAN15,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",17
DISEASES,DOID:12236,Primary biliary cholangitis,0.00024,0.0345,"HLA-DQA1,HLA-DRB1",2
HPO,EFO:0004458,C-reactive protein measurement,0.00019,0.0349,"NECTIN2,APOE,IGF2BP3,JAZF1,CARMIL1,TREM2",6
COMPARTMENTS,GOCC:0043231,Intracellular membrane-bounded organelle,0.00086,0.0352,"QPCTL,GRN,KCNQ1,NEUROG3,IDUA,APOE,ZC3H4,CCND2,CDKN2B,JADE2,JAZF1,ATP8B4,APPL1,IL17RD,CARMIL1,CHST15,HLA-DQA1,SNRPD2,TOX2,HLA-DRB1,HLA-DQA2,HLA-DQB1,SLC22A18,HLA-DRA,HLA-DQB2,CDKN1C,PLCG2,HESX1",28
KEGG,hsa04110,Cell cycle,0.0023,0.0363,"CCND2,CDKN2B,CDKN1C",3
Process,GO:0048731,System development,0.00015,0.0365,"GRN,KCNQ1,NEUROG3,APOE,MTNR1B,IGF2BP3,CDKN2B,JADE2,HLA-DRB1,ALPK2,TREM2,PICALM,SHARPIN,HLA-DQB2,IGF2BP2,GIPR,NPAS1,PLCG2,HESX1",19
COMPARTMENTS,GOCC:0005737,Cytoplasm,0.00092,0.0367,"QPCTL,GRN,KCNQ1,IDUA,APOE,ZC3H4,IGF2BP3,CCND2,APH1B,CDKN2B,ATP8B4,APPL1,IL17RD,CARMIL1,CHST15,HLA-DQA1,SNRPD2,HLA-DRB1,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,HLA-DRA,SHARPIN,HLA-DQB2,IGF2BP2,CDKN1C,PLCG2",28
HPO,EFO:0004872,Inflammatory biomarker measurement,0.00021,0.0384,"NECTIN2,APOE,IGF2BP3,JAZF1,ATP8B4,CARMIL1,TREM2,SLC22A18,SHARPIN,BTNL2",10
COMPARTMENTS,GOCC:0031902,Late endosome membrane,0.001,0.039,"APPL1,HLA-DRB1,HLA-DRA",3
DISEASES,DOID:7,Disease of anatomical entity,0.00029,0.0406,"GRN,KCNQ1,NEUROG3,IDUA,APOE,CDKN2B,JAZF1,IL17RD,HLA-DQA1,HLA-DRB1,TREM2,TSPAN15,HLA-DQA2,HLA-DQB1,SLC22A18,HLA-DRA,BTNL2,HLA-DQB2,CDKN1C,PLCG2,HESX1",21
HPO,EFO:0006832,Disposition index measurement,0.00024,0.0437,"KCNQ1,MTNR1B",2
HPO,EFO:0008000,Peak insulin response measurement,0.00024,0.0437,"MTNR1B,IGF2BP2",2
HPO,HP:0000118,Phenotypic abnormality,0.00025,0.0438,"GRN,KCNQ1,NEUROG3,IDUA,NECTIN2,APOE,CCND2,APH1B,JAZF1,APPL1,IL17RD,HLA-DQA1,HLA-DRB1,TREM2,TSPAN15,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,CDKN1C,PLCG2,HESX1",22
Process,GO:0048583,Regulation of response to stimulus,0.00019,0.0444,"GRN,NECTIN2,APOE,MTNR1B,CDKN2B,APPL1,IL17RD,HLA-DRB1,ALPK2,TREM2,TSPAN15,HLA-DQB1,HLA-DRA,SHARPIN,BTNL2,HLA-DQB2,CDKN1C,GIPR,PLCG2",19
Process,GO:0050708,Regulation of protein secretion,0.0002,0.0454,"APOE,MTNR1B,HLA-DRB1,TREM2,GIPR",5
Process,GO:1900223,Positive regulation of amyloid-beta clearance,0.0002,0.0454,"APOE,TREM2",2
COMPARTMENTS,GOCC:0005764,Lysosome,0.0012,0.0462,"GRN,IDUA,HLA-DQA1,HLA-DRB1,HLA-DQB1,HLA-DRA",6
