gene_name,gene_id,max_score,avg_score,sum_score,snp_count,min_p,n_sig,top_snps,support,GRASS_score,rank,rank_max,disease
FUS,ENSG00000089280,0.0107053612763335,0.0107053612763335,0.0107053612763335,1,9.697e-10,1,rs7190802,0.11679183448148775,0.045367821986104805,284,278,AD
PRSS36,ENSG00000178226,0.0107053612763335,0.0107053612763335,0.0107053612763335,1,9.697e-10,1,rs7190802,0.11679183448148775,0.045367821986104805,284,278,AD
PRSS8,ENSG00000052344,0.0107053612763335,0.0107053612763335,0.0107053612763335,1,9.697e-10,1,rs7190802,0.11679183448148775,0.045367821986104805,284,278,AD
C16orf98,ENSG00000261359,0.0107053612763335,0.0107053612763335,0.0107053612763335,1,9.697e-10,1,rs7190802,0.11679183448148775,0.045367821986104805,284,278,AD
PYCARD,ENSG00000103490,0.0107053612763335,0.0107053612763335,0.0107053612763335,1,9.697e-10,1,rs7190802,0.11679183448148775,0.045367821986104805,284,278,AD
KCTD13,ENSG00000174943,0.0104045147148528,0.0104045147148528,0.0104045147148528,1,1.206e-09,1,rs4318227,0.11679183448148775,0.04507751635116794,291,285,AD
INO80E,ENSG00000169592,0.0104045147148528,0.0104045147148528,0.0104045147148528,1,1.206e-09,1,rs4318227,0.11679183448148775,0.04507751635116794,291,285,AD
HIRIP3,ENSG00000149929,0.0104045147148528,0.0104045147148528,0.0104045147148528,1,1.206e-09,1,rs4318227,0.11679183448148775,0.04507751635116794,291,285,AD
ZFP3,ENSG00000180787,0.0031937012572711,0.0031937012572711,0.0031937012572711,1,4.79443e-08,1,rs1047966,0.11679183448148775,0.03811935213313066,294,291,AD
PAX4,ENSG00000106331,0.7196848895446182,0.4523742981810794,2.261871490905397,5,2.73e-132,5,"rs2233580,rs3824004,rs12669223,rs3757787,rs61160304",0.35392115259844265,0.7494477236395567,1,1,T2D
TCF7L2,ENSG00000148737,0.6743156098662709,0.42003375733641063,1.6801350293456425,4,2.62e-263,4,"rs7903146,rs7079711,rs35011184,rs7918599",0.3179076939661524,0.7053768818947269,2,2,T2D
KCNQ1,ENSG00000053918,0.6228252572026766,0.1679380244479093,4.198450611197733,25,3.821e-28,25,"rs116500286,rs2283164,rs463924,rs35723063,rs231840",0.643562543866646,0.6956459182897445,3,3,T2D
COBLL1,ENSG00000082438,0.6132404226530549,0.11096206345599255,1.8863550787518732,17,1.684e-15,17,"rs7607980,rs10179126,rs3769873,rs41357247,rs10193724",0.5709269137744931,0.6794838582132805,4,8,T2D
PPARG,ENSG00000132170,0.6168284422461479,0.14859561712763394,1.4859561712763394,10,1.008e-16,10,"rs1801282,rs35408322,rs17036342,rs4135250,rs35000407",0.4736494341647251,0.6712751397015864,5,7,T2D
SLC22A18,ENSG00000110628,0.6228252572026766,0.2643128729059755,1.057251491623902,4,9.84e-27,4,"rs116500286,rs35723063,rs34495402,rs12577753",0.3179076939661524,0.6587972830141687,6,3,T2D
SLC22A18AS,ENSG00000254827,0.6228252572026766,0.2643128729059755,1.057251491623902,4,9.84e-27,4,"rs116500286,rs35723063,rs34495402,rs12577753",0.3179076939661524,0.6587972830141687,6,3,T2D
CDKN1C,ENSG00000129757,0.6228252572026766,0.2643128729059755,1.057251491623902,4,9.84e-27,4,"rs116500286,rs35723063,rs34495402,rs12577753",0.3179076939661524,0.6587972830141687,6,3,T2D
WFS1,ENSG00000109501,0.5733649856118721,0.09676717585829796,2.419179396457449,25,6.68e-20,25,"rs1801212,rs4689388,rs1801206,rs1801214,rs881796",0.643562543866646,0.655734880160534,9,9,T2D
GRB14,ENSG00000115290,0.5148637065093532,0.10836208855534,2.7090522138835,25,1.158e-15,25,"rs75536691,rs72874858,rs192460493,rs146779352,rs117861423",0.643562543866646,0.6085283706576161,10,15,T2D
ADCY5,ENSG00000173175,0.556925726484073,0.14417854501771304,0.7208927250885652,5,1.026e-20,5,"rs11708067,rs2332541,rs201010648,rs73856630,rs2046487",0.35392115259844265,0.6039697337549154,11,10,T2D
FTO,ENSG00000140718,0.5017934298315371,0.13118906276547823,3.0173484436059996,23,1.629e-50,23,"rs1558902,rs8050136,rs11642015,rs55872725,rs7187250",0.6277519354432268,0.5956184714336724,12,22,T2D
HMG20A,ENSG00000140382,0.5357244462663716,0.12898915801868363,0.9029241061307853,7,2.2350000000000003e-26,7,"rs7177055,rs7119,rs2055901,rs11857450,rs8024485",0.4107461742671763,0.5929342685169304,13,11,T2D
CDKN2B,ENSG00000147883,0.5017631447940317,0.19601339026190695,3.528241024714325,18,4.42e-164,18,"rs10965241,rs1889086,rs2383208,rs10965248,rs10811661",0.5816066582370774,0.5886965065040999,14,23,T2D
KIF11,ENSG00000138160,0.5143676522774789,0.17261948576276903,1.8988143433904594,11,1.627e-70,11,"rs112284889,rs58534496,rs10882100,rs7903302,rs7911264",0.49083654402083476,0.5858774832437329,15,16,T2D
NKX6-1,ENSG00000163623,0.4648569863006681,0.09906442618126059,4.2597703257942054,43,1.954e-16,43,"rs117624659,rs7660492,rs201597274,rs117502917,rs75560957",0.7474802170095093,0.5848596311039979,16,26,T2D
ZMIZ1,ENSG00000108175,0.5179711224574721,0.1708002222233189,1.0248013333399133,6,1.7480000000000002e-20,6,"rs12571751,rs703977,rs703965,rs703976,rs703975",0.384370098015096,0.5735543685296106,17,14,T2D
GIPR,ENSG00000010310,0.5018568299276309,0.12794684575809995,1.2794684575809994,10,3.561e-31,10,"rs1800437,rs11671664,rs10408179,rs10406431,rs200706727",0.4736494341647251,0.5726403991189709,18,21,T2D
GLIS3,ENSG00000107249,0.5327062406991003,0.28743757115863355,0.8623127134759007,3,4.463e-27,3,"rs4237150,rs10758593,rs7034200",0.27383078284478424,0.5710940654774546,19,12,T2D
HMGA2,ENSG00000149948,0.4990912380963923,0.1635516768849515,1.4719650919645635,9,4.952e-16,9,"rs8756,rs1531343,rs7134682,rs2583934,rs343092",0.4548230853885445,0.5674386986725387,20,25,T2D
BCL2,ENSG00000171791,0.5314357747605087,0.5314357747605087,0.5314357747605087,1,1.402e-15,1,rs12454712,0.13691539142239212,0.5506818710520672,21,13,T2D
BCL11A,ENSG00000119866,0.506161250346966,0.18848919831496072,0.5654675949448822,3,4.875e-14,3,"rs243021,rs9309325,rs243024",0.27383078284478424,0.5467297257719399,22,19,T2D
UBE2E2,ENSG00000182247,0.406683940841662,0.0793024724611861,4.1237285679816775,52,6.451e-37,52,"rs142915147,rs5847234,rs77845246,rs61381380,rs59708186",0.7842404710728466,0.5462746805604879,23,34,T2D
BAG6,ENSG00000204463,0.5127330368857911,0.27355701045030034,0.5471140209006007,2,1.009e-11,2,"rs1077394,rs3130050",0.21700576117605053,0.5444549583537535,24,18,T2D
CMIP,ENSG00000153815,0.5133664302663339,0.5133664302663339,0.5133664302663339,1,1.514e-09,1,rs2925979,0.13691539142239212,0.5333547179701421,25,17,T2D
POC5,ENSG00000152359,0.5049186295992388,0.5049186295992388,0.5049186295992388,1,4.755e-12,1,rs2307111,0.13691539142239212,0.5252539074835452,26,20,T2D
CALCOCO2,ENSG00000136436,0.499689793566098,0.499689793566098,0.499689793566098,1,3.112e-08,1,rs10278,0.13691539142239212,0.5202398438900526,27,24,T2D
JAZF1,ENSG00000153814,0.4003485904010849,0.061259094282380806,1.286440979929997,21,1.371e-23,21,"rs849134,rs864745,rs41420446,rs1635852,rs75909523",0.6105648255871171,0.510186407895534,28,35,T2D
FSCN3,ENSG00000106328,0.4507390260417322,0.317708080619442,1.270832322477768,4,1.23e-127,4,"rs569793831,rs3757787,rs61160304,rs558788246",0.3179076939661524,0.503123312926735,29,28,T2D
AL117190.2,ENSG00000267918,0.4475220311125104,0.15883766744308653,0.4765130023292596,3,7.46e-11,3,"rs73347525,rs6575802,rs59040120",0.27383078284478424,0.49290767352999765,30,29,T2D
HNF1B,ENSG00000108753,0.4188273605945233,0.2871193410725173,1.4355967053625864,5,6.464999999999999e-61,5,"rs7501939,rs8064454,rs12449654,rs34557151,rs11657964",0.35392115259844265,0.48053414771364295,31,32,T2D
GP2,ENSG00000169347,0.352616581064331,0.05451573586162304,1.25386192481733,23,4.851e-17,23,"rs117267808,rs78193826,rs11074446,rs4438316,rs13339474",0.6277519354432268,0.4745354393275469,32,44,T2D
FAM13A,ENSG00000138640,0.4511862804438691,0.4511862804438691,0.4511862804438691,1,4.751e-08,1,rs13133548,0.13691539142239212,0.4737285940131711,33,27,T2D
PRC1,ENSG00000198901,0.3801773706719821,0.0940647770114077,0.940647770114077,10,1.061e-22,10,"rs8042680,rs8026714,rs12595025,rs12594925,rs2890156",0.4736494341647251,0.46825096197109445,34,38,T2D
ATG16L1,ENSG00000085978,0.4396293746767457,0.4396293746767457,0.4396293746767457,1,1.976e-15,1,rs117809958,0.13691539142239212,0.46264638372906886,35,30,T2D
SCTR,ENSG00000080293,0.4371300597185422,0.4371300597185422,0.4371300597185422,1,6.862e-09,1,rs3731600,0.13691539142239212,0.46024972717660245,36,31,T2D
MACF1,ENSG00000127603,0.3079624995863889,0.03877455465042374,1.3958839674152546,36,6.661e-11,36,"rs72066010,rs3768301,rs113214136,rs17343193,rs61779300",0.7132543466517857,0.4560421261512024,37,55,T2D
MNX1,ENSG00000130675,0.4141808066998262,0.223671725123135,0.44734345024627,2,1.343e-10,2,"rs887609,rs4716673",0.21700576117605053,0.4523186486859194,38,33,T2D
GCK,ENSG00000106633,0.3826764925763448,0.1232326046907681,0.6161630234538406,5,1.875e-10,5,"rs4607517,rs730497,rs1799884,rs2908290,rs2070971",0.35392115259844265,0.44822164675839277,39,37,T2D
ADAMTS9,ENSG00000163638,0.3966433247383271,0.3966433247383271,0.3966433247383271,1,4.024e-08,1,rs9860730,0.13691539142239212,0.42142596934655663,40,36,T2D
SIX2,ENSG00000170577,0.3757629349165455,0.22310131948540685,0.4462026389708137,2,1.831e-14,2,"rs12712928,rs895636",0.21700576117605053,0.4164018467553672,41,39,T2D
SIX3,ENSG00000138083,0.3757629349165455,0.22310131948540685,0.4462026389708137,2,1.831e-14,2,"rs12712928,rs895636",0.21700576117605053,0.4164018467553672,41,39,T2D
CDKAL1,ENSG00000145996,0.2883624476512127,0.17406739872243582,3.1332131770038445,18,4.96e-183,18,"rs10440833,rs9350271,rs9348441,rs9368222,rs35261542",0.5816066582370774,0.4125303892604901,43,74,T2D
MTNR1B,ENSG00000134640,0.3701553729404764,0.2169697377628668,0.4339394755257336,2,6.211999999999999e-22,2,"rs1447352,rs1387153",0.21700576117605053,0.4111593467557857,44,42,T2D
ZNF208,ENSG00000160321,0.3704934492262258,0.3704934492262258,0.3704934492262258,1,6.949e-23,1,rs142395395,0.13691539142239212,0.39635018996687116,45,41,T2D
CCND2,ENSG00000118971,0.3011594566809671,0.08171042460050768,0.6536833968040614,8,9.09e-12,8,"rs12822620,rs59186484,rs12818766,rs10849027,rs33998593",0.43401152235210105,0.39215091110714595,46,56,T2D
KCNJ11,ENSG00000187486,0.3483933508994139,0.2257609195884195,0.451521839176839,2,2.98e-26,2,"rs5219,rs7124355",0.21700576117605053,0.3908140699620484,47,45,T2D
BPTF,ENSG00000171634,0.3608501761870942,0.3608501761870942,0.3608501761870942,1,1.117e-08,1,rs12602912,0.13691539142239212,0.3871030106785633,48,43,T2D
HMGA1,ENSG00000137309,0.2223393752303256,0.05565505456529181,1.725306691524046,31,1.948e-16,31,"rs117741261,rs118012224,rs2780215,rs10588956,rs11366936",0.6845769571119605,0.3820499384815086,49,91,T2D
GLP1R,ENSG00000112164,0.300565079582231,0.12222658628621093,0.7333595177172656,6,1.7869999999999998e-22,6,"rs742762,rs2268656,rs2268655,rs9394574,rs9296285",0.384370098015096,0.3812176402570786,50,61,T2D
SND1,ENSG00000197157,0.3247835579490372,0.27298824902461255,0.8189647470738376,3,1.23e-127,3,"rs3757787,rs61160304,rs150524780",0.27383078284478424,0.3802520720239827,51,48,T2D
WDR11,ENSG00000120008,0.1813573652752759,0.03902577773598301,1.9512888867991505,50,5.951e-17,50,"rs2250266,rs11199775,rs35668226,rs17101518,rs754227",0.7766423360103237,0.37209512373235265,52,122,T2D
ZNF100,ENSG00000197020,0.3440428369300477,0.3440428369300477,0.3440428369300477,1,9.688e-23,1,rs150182828,0.13691539142239212,0.37098602645146106,53,46,T2D
ARF5,ENSG00000004059,0.3247835579490372,0.3193139465383231,0.6386278930766462,2,1.23e-127,2,"rs3757787,rs61160304",0.21700576117605053,0.36874131533879334,54,48,T2D
GCC1,ENSG00000179562,0.3247835579490372,0.3193139465383231,0.6386278930766462,2,1.23e-127,2,"rs3757787,rs61160304",0.21700576117605053,0.36874131533879334,54,48,T2D
ASCC2,ENSG00000100325,0.339474245028836,0.339474245028836,0.339474245028836,1,1.192e-12,1,rs28265,0.13691539142239212,0.3666050877147704,56,47,T2D
TLE4,ENSG00000106829,0.2567146940884844,0.09294431056023213,0.9294431056023212,10,6.413e-11,10,"rs13292262,rs1328412,rs67269808,rs13292514,rs10512085",0.4736494341647251,0.3623316934588676,57,80,T2D
FAF1,ENSG00000185104,0.113144494125187,0.05905876416796894,6.437405294308614,109,1.052e-14,109,"rs112108602,rs58029717,rs72900903,rs113611542,rs149126847",0.9284725195532695,0.3601707839309701,58,181,T2D
TMEM18,ENSG00000151353,0.1196296091908779,0.07128631220113571,6.48705441030335,91,2.368e-17,91,"rs11127489,rs6548240,rs35142762,rs10634531,rs62105327",0.8931760386817719,0.3555273306615624,59,179,T2D
DMRTA1,ENSG00000176399,0.2008560855467733,0.06134795635393655,1.5336989088484136,25,2.35e-14,25,"rs1327045,rs12000501,rs943399,rs2383216,rs10634729",0.643562543866646,0.35514581269709367,60,108,T2D
HHEX,ENSG00000152804,0.2385138171018345,0.14903071781537647,1.7883686137845176,12,1.627e-70,12,"rs58534496,rs10882100,rs7903302,rs7911264,rs11187129",0.506647152444254,0.35425525895913446,61,86,T2D
NUS1,ENSG00000153989,0.3229622814253886,0.3229622814253886,0.3229622814253886,1,7.573e-13,1,rs80196932,0.13691539142239212,0.35077134669929844,62,51,T2D
DISP2,ENSG00000140323,0.2925233364108142,0.19143359156953244,0.5743007747085973,3,1.7410000000000002e-20,3,"rs12907887,rs3743140,rs1077476",0.27383078284478424,0.35064200300132703,63,64,T2D
C15orf52,ENSG00000188549,0.2925233364108142,0.19143359156953244,0.5743007747085973,3,1.7410000000000002e-20,3,"rs12907887,rs3743140,rs1077476",0.27383078284478424,0.35064200300132703,63,64,T2D
PLCB2,ENSG00000137841,0.2925233364108142,0.19143359156953244,0.5743007747085973,3,1.7410000000000002e-20,3,"rs12907887,rs3743140,rs1077476",0.27383078284478424,0.35064200300132703,63,64,T2D
ANKRD63,ENSG00000230778,0.2925233364108142,0.19143359156953244,0.5743007747085973,3,1.7410000000000002e-20,3,"rs12907887,rs3743140,rs1077476",0.27383078284478424,0.35064200300132703,63,64,T2D
PHGR1,ENSG00000233041,0.2925233364108142,0.19143359156953244,0.5743007747085973,3,1.7410000000000002e-20,3,"rs12907887,rs3743140,rs1077476",0.27383078284478424,0.35064200300132703,63,64,T2D
IGF2BP2,ENSG00000073792,0.2182656538953095,0.11800932353111244,1.7701398529666867,15,1.907e-66,15,"rs6765808,rs4402960,rs13092876,rs9841201,rs9808924",0.5476615656895685,0.34670341067761123,68,95,T2D
PEPD,ENSG00000124299,0.2235002289203604,0.06448399332347614,0.8382919132051898,13,2.289e-16,13,"rs4805885,rs10406327,rs7250869,rs4805881,rs8182584",0.5212854894374881,0.3449336478849646,69,89,T2D
ASAH1,ENSG00000104763,0.1765693530877218,0.05875620728815572,1.7626862186446717,30,1.602e-09,30,"rs35513736,rs34642578,rs28412,rs2283116,rs378653",0.6783057270199898,0.3441306701690338,70,128,T2D
LEP,ENSG00000174697,0.2848002463860847,0.1958743210244037,0.587622963073211,3,9.492999999999999e-54,3,"rs4728092,rs59299413,rs7778167",0.27383078284478424,0.3435533589128333,71,76,T2D
CDC123,ENSG00000151465,0.3134868872738311,0.3134868872738311,0.3134868872738311,1,2.559e-61,1,rs11257655,0.13691539142239212,0.34168515073748357,72,52,T2D
NFATC2,ENSG00000101096,0.295297933583679,0.2393145651245695,0.478629130249139,2,6.662e-10,2,"rs3787186,rs6021276",0.21700576117605053,0.3411752560811818,73,63,T2D
JPH1,ENSG00000104369,0.2476348811350308,0.152134628811879,1.064942401683153,7,6.739e-10,7,"rs3780012,rs145909292,rs141226019,rs78242006,rs16938860",0.4107461742671763,0.3403442094027874,74,81,T2D
ZNF800,ENSG00000048405,0.3117347513174781,0.3117347513174781,0.3117347513174781,1,8.814999999999999e-27,1,rs138455873,0.13691539142239212,0.3400049830952173,75,53,T2D
MRAS,ENSG00000158186,0.3111636356111164,0.3111636356111164,0.3111636356111164,1,4.5e-09,1,rs9818870,0.13691539142239212,0.3394573257480008,76,54,T2D
PAK6,ENSG00000137843,0.2925233364108142,0.2696858560303864,0.5393717120607728,2,1.7410000000000002e-20,2,"rs12907887,rs3743140",0.21700576117605053,0.33858128997975334,77,64,T2D
RP11-133K1.2,ENSG00000259288,0.2925233364108142,0.2696858560303864,0.5393717120607728,2,1.7410000000000002e-20,2,"rs12907887,rs3743140",0.21700576117605053,0.33858128997975334,77,64,T2D
AUTS2,ENSG00000158321,0.1154960918231937,0.04117948297782594,2.7178458765365123,66,1.8300000000000003e-21,66,"rs6974900,rs10270616,rs7800272,rs9791609,rs1029812",0.8305409759146676,0.3358811135524443,79,180,T2D
FAM185A,ENSG00000222011,0.1870938140505921,0.04835617150085833,0.9187672585163082,19,7.494e-11,19,"rs147397718,rs140663961,rs369944822,rs199892444,rs60164908",0.5917384768109366,0.3314021745297593,80,119,T2D
MPHOSPH9,ENSG00000051825,0.3006316291168299,0.3006316291168299,0.3006316291168299,1,3.744e-09,1,rs1109559,0.13691539142239212,0.32935791739120285,81,57,T2D
SBNO1,ENSG00000139697,0.3006316291168299,0.3006316291168299,0.3006316291168299,1,3.744e-09,1,rs1109559,0.13691539142239212,0.32935791739120285,81,57,T2D
CDK2AP1,ENSG00000111328,0.3006316291168299,0.3006316291168299,0.3006316291168299,1,3.744e-09,1,rs1109559,0.13691539142239212,0.32935791739120285,81,57,T2D
C12orf65,ENSG00000130921,0.3006316291168299,0.3006316291168299,0.3006316291168299,1,3.744e-09,1,rs1109559,0.13691539142239212,0.32935791739120285,81,57,T2D
FAIM2,ENSG00000135472,0.2968665607510242,0.2968665607510242,0.2968665607510242,1,5.698e-09,1,rs77978149,0.13691539142239212,0.3257474977681081,85,62,T2D
HCG27,ENSG00000206344,0.1876407377651082,0.04025328088093156,0.644052494094905,16,1.236e-16,16,"rs3869115,rs3130456,rs117321340,rs117618911,rs28507710",0.5596365748342732,0.3240285242807178,86,117,T2D
HLA-C,ENSG00000204525,0.1876407377651082,0.041352500457052285,0.6616400073128366,16,1.236e-16,16,"rs3869115,rs117321340,rs117618911,rs28507710,rs118182436",0.5596365748342732,0.3240285242807178,86,117,T2D
IKZF2,ENSG00000030419,0.2155252572839409,0.05582282147394354,0.5024053932654918,9,5.355e-10,9,"rs75179644,rs141310316,rs199950276,rs113515801,rs112787136",0.4548230853885445,0.32256442415139164,88,98,T2D
MAST2,ENSG00000086015,0.0306031084245608,0.012702529339575677,1.9942971063133814,157,5.781e-11,157,"rs7531911,rs6672115,rs4660885,rs10890361,rs10789479",1.0,0.3214221758971926,89,339,T2D
TRIM31,ENSG00000204616,0.2921091805253862,0.2921091805253862,0.2921091805253862,1,1.837e-10,1,rs6915823,0.13691539142239212,0.3211855251151916,90,71,T2D
NFAT5,ENSG00000102908,0.2918630614719703,0.2918630614719703,0.2918630614719703,1,2.465e-08,1,rs1364063,0.13691539142239212,0.32094951530773613,91,72,T2D
EHMT2,ENSG00000204371,0.2897190110900327,0.2897190110900327,0.2897190110900327,1,4.13e-09,1,rs115884658,0.13691539142239212,0.31889353097498024,92,73,T2D
ZNF703,ENSG00000183779,0.2205381822736555,0.07042773913739549,0.49299417396176837,7,2.214e-11,7,"rs12680217,rs2211704,rs12675352,rs12681487,rs4739514",0.4107461742671763,0.316586470159186,93,94,T2D
ARAP1,ENSG00000186635,0.202109919826601,0.13406310833859592,1.3406310833859592,10,6.193e-21,10,"rs1552224,rs148527516,rs11602873,rs11603349,rs77464186",0.4736494341647251,0.3154859753265343,94,107,T2D
GNAS,ENSG00000087460,0.2861350316228102,0.2861350316228102,0.2861350316228102,1,1.27e-08,1,rs11477757,0.13691539142239212,0.31545676209323914,95,75,T2D
IGF1R,ENSG00000140443,0.2828423248761318,0.2828423248761318,0.2828423248761318,1,3.161e-08,1,rs79826452,0.13691539142239212,0.31229930201647893,96,77,T2D
C6orf1,ENSG00000186577,0.1352687795762956,0.051777509215591266,1.5015477672521467,29,7.283e-17,29,"rs4711389,rs2780215,rs10588956,rs11366936,rs117324087",0.6718288465645951,0.30955419309799115,97,166,T2D
C14orf166B,ENSG00000100565,0.158511297158517,0.036642410496869796,0.6962057994405261,19,1.008e-10,19,"rs45536531,rs11620646,rs56059947,rs72627183,rs17105012",0.5917384768109366,0.307893670140426,98,147,T2D
DGKB,ENSG00000136267,0.204021763511878,0.06995827748864858,0.5596662199091886,8,1.752e-19,8,"rs2191349,rs10950550,rs10228066,rs10228561,rs10228456",0.43401152235210105,0.3076608813650832,99,105,T2D
NF1,ENSG00000196712,0.0419785257227541,0.008377886403317726,0.8713001859450434,104,3.793e-11,104,"rs7502556,rs9894648,rs12943365,rs35170054,rs1048317",0.9192835531572989,0.3061865411851282,100,305,T2D
FGFR4,ENSG00000160867,0.1582365590655196,0.03023569233723771,0.5442424620702788,18,1.51e-12,18,"rs3135911,rs31778,rs351855,rs451643,rs165943",0.5816066582370774,0.3051091256379336,101,148,T2D
SAG,ENSG00000130561,0.2745303596480263,0.2745303596480263,0.2745303596480263,1,4.835e-15,1,rs117637393,0.13691539142239212,0.304328747580182,102,78,T2D
HNF4A,ENSG00000101076,0.1995428959929244,0.061029215448324875,0.488233723586599,8,3.1970000000000006e-20,8,"rs16988991,rs4812829,rs67897819,rs71195541,rs10626048",0.43401152235210105,0.30376517787922386,103,109,T2D
MYOF,ENSG00000138119,0.1480473199568868,0.12715377026716757,2.4159216350761836,19,1.649e-16,19,"rs2761320,rs2761299,rs1222927,rs1222928,rs787657",0.5917384768109366,0.29928727431799895,104,155,T2D
FGF9,ENSG00000102678,0.1540000625456782,0.028964829537222802,0.4924021021327876,17,3.333e-09,17,"rs9509965,rs9316706,rs9550805,rs116237007,rs4611304",0.5709269137744931,0.2989013025489412,105,151,T2D
C10orf115,ENSG00000204566,0.2246266401699513,0.10203449867609202,0.40813799470436807,4,1.567e-08,4,"rs77065181,rs79292385,rs116966405,rs117164271",0.3179076939661524,0.29857578720585887,106,87,T2D
ETV1,ENSG00000006468,0.1916819208129533,0.08398581465354377,0.6718865172283501,8,2.255e-15,8,"rs7787720,rs35790002,rs12154701,rs56805921,rs17167576",0.43401152235210105,0.2969277288407622,107,112,T2D
GRM8,ENSG00000179603,0.2210103883603549,0.10151624563732099,0.40606498254928397,4,1.916e-28,4,"rs11440450,rs144730367,rs72344315,rs75650314",0.3179076939661524,0.29530442567833937,108,93,T2D
ZNF257,ENSG00000197134,0.245826635110854,0.2098565958928318,0.4197131917856636,2,3.028e-22,2,"rs62112362,rs148612115",0.21700576117605053,0.29492462464279573,109,82,T2D
MTMR3,ENSG00000100330,0.26456232321888,0.26456232321888,0.26456232321888,1,4.003e-11,1,rs41278853,0.13691539142239212,0.2947701444338585,110,79,T2D
KSR2,ENSG00000171435,0.1612145273052225,0.06490121338291202,0.8437157739778564,13,1.536e-15,13,"rs79310463,rs111246699,rs4766891,rs4525333,rs7132351",0.5212854894374881,0.29238853600524806,111,135,T2D
MANSC4,ENSG00000205693,0.2174026113589011,0.10201222844456218,0.4080489137782487,4,7.519e-21,4,"rs10842992,rs3751237,rs3751239,rs10771370",0.3179076939661524,0.29204073069694847,112,96,T2D
KLHL42,ENSG00000087448,0.2174026113589011,0.10201222844456218,0.4080489137782487,4,7.519e-21,4,"rs10842992,rs3751237,rs3751239,rs10771370",0.3179076939661524,0.29204073069694847,112,96,T2D
USP40,ENSG00000085982,0.2405318692141876,0.23380707694562658,0.46761415389125316,2,2.741e-14,2,"rs117343478,rs538826651",0.21700576117605053,0.28997455715722587,114,84,T2D
EIF5A2,ENSG00000163577,0.1810773731507935,0.05813592300099666,0.4069514610069766,7,1.013e-11,7,"rs7642480,rs201018682,rs200546050,rs68055107,rs34611289",0.4107461742671763,0.2819881739505349,115,123,T2D
SLC2A2,ENSG00000163581,0.1810773731507935,0.054855716859174716,0.383990018014223,7,1.393e-11,7,"rs7642480,rs9875793,rs9829457,rs9845527,rs6771575",0.4107461742671763,0.2819881739505349,115,123,T2D
GPSM1,ENSG00000160360,0.1533933817861789,0.1262458569333223,1.3887044262665453,11,1.156e-25,11,"rs58420526,rs58602428,rs28429551,rs371034039,rs61386106",0.49083654402083476,0.27805702177495034,117,152,T2D
SPRY2,ENSG00000136158,0.2448333845033916,0.2448333845033916,0.2448333845033916,1,1.3150000000000002e-31,1,rs1215468,0.13691539142239212,0.27585156432834396,118,83,T2D
SLC16A11,ENSG00000174326,0.1603226685361607,0.11920864501899035,1.0728778051709131,9,8.986e-24,9,"rs186568031,rs73239895,rs113748381,rs117767867,rs75418188",0.4548230853885445,0.2748940589243216,119,136,T2D
ZNF431,ENSG00000196705,0.208809928194762,0.14422777054696886,0.43268331164090656,3,4.565e-12,3,"rs138490097,rs250001,rs25760",0.27383078284478424,0.27380558721719683,120,103,T2D
NSD1,ENSG00000165671,0.0407716972001454,0.011377353119261396,0.6712638340364223,59,3.888e-12,59,"rs451643,rs165943,rs4976682,rs13177762,rs2112535",0.8087442379869871,0.2735028060411712,121,312,T2D
DGKD,ENSG00000077044,0.1372837390302895,0.027203410945049848,0.353644342285648,13,3.46e-11,13,"rs838714,rs2971868,rs838731,rs838718,rs6706384",0.5212854894374881,0.2722001795338721,122,164,T2D
INSR,ENSG00000171105,0.2394099124771605,0.2394099124771605,0.2394099124771605,1,3.527e-08,1,rs8101064,0.13691539142239212,0.2706508593407148,123,85,T2D
MUC22,ENSG00000261272,0.1483175189101985,0.04635388184102277,0.4635388184102277,10,1.084e-17,10,"rs76541615,rs2523845,rs75683091,rs12526820,rs62399063",0.4736494341647251,0.2693371964870566,124,154,T2D
HLA-A,ENSG00000206503,0.0991657227677477,0.0872894935198551,1.8330793639169571,21,7.569e-09,21,"rs1655922,rs41546815,rs2571381,rs1632881,rs1632880",0.6105648255871171,0.26417103977610973,125,199,T2D
SLC12A8,ENSG00000221955,0.212052801258944,0.1861590787109059,0.3723181574218118,2,1.141e-08,2,"rs12497133,rs9873519",0.21700576117605053,0.2633495257477459,126,99,T2D
EPC2,ENSG00000135999,0.0868937879222299,0.011152464233240116,0.2788116058310029,25,1.291e-09,25,"rs59505782,rs200576292,rs34695108,rs16829251,rs13009764",0.643562543866646,0.2631860749217919,127,212,T2D
AGPAT6,ENSG00000158669,0.184525253245495,0.12877877168172774,0.515115086726911,4,6.171e-27,4,"rs4736819,rs12550613,rs12549902,rs9643885",0.3179076939661524,0.26229896211400205,128,120,T2D
KCNK16,ENSG00000095981,0.1285041244586353,0.10658928167402716,1.279071380088326,12,3.587e-18,12,"rs11756070,rs34247110,rs11756091,rs11753141,rs35099099",0.506647152444254,0.2609663955716186,129,177,T2D
STEAP1,ENSG00000164647,0.0592217522310462,0.034901362067221914,1.256449034419989,36,1.524e-15,36,"rs39233,rs39204,rs3953544,rs2190231,rs259133",0.7132543466517857,0.26052600456804326,130,260,T2D
RSPO3,ENSG00000146374,0.0534187072647144,0.019624997717924152,0.7457499132811178,38,7.643e-11,38,"rs7754405,rs2800733,rs2800729,rs9398815,rs10456964",0.7236529136203045,0.2589176004046235,131,271,T2D
